icd10,icd10_label,valid_fy2025,valid_fy2026,cc_age_split,cc_sex_split,cc,second_cc,third_cc
E103212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",Y,Y,age < 21,,20,,
E103212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",Y,Y,age >= 21,,20,22,
E103213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",Y,Y,age < 21,,20,,
E103213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",Y,Y,age >= 21,,20,22,
E103219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,age < 21,,20,,
E103219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,age >= 21,,20,22,
E103291,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",Y,Y,age < 21,,20,,
E103291,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",Y,Y,age >= 21,,20,22,
E103292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",Y,Y,age < 21,,20,,
E103292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",Y,Y,age >= 21,,20,22,
E103293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",Y,Y,age < 21,,20,,
E103293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",Y,Y,age >= 21,,20,22,
E103299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,age < 21,,20,,
E103299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,age >= 21,,20,22,
E103311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",Y,Y,age < 21,,20,,
E103311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",Y,Y,age >= 21,,20,22,
E103312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",Y,Y,age < 21,,20,,
E103312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",Y,Y,age >= 21,,20,22,
E103313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",Y,Y,age < 21,,20,,
E103313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",Y,Y,age >= 21,,20,22,
E103319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,age < 21,,20,,
E103319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,age >= 21,,20,22,
E103391,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",Y,Y,age < 21,,20,,
E103391,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",Y,Y,age >= 21,,20,22,
E103392,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",Y,Y,age < 21,,20,,
E103392,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",Y,Y,age >= 21,,20,22,
E103393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",Y,Y,age < 21,,20,,
E103393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",Y,Y,age >= 21,,20,22,
E103399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,age < 21,,20,,
E103399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,age >= 21,,20,22,
E103411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",Y,Y,age < 21,,20,,
E103411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",Y,Y,age >= 21,,20,22,
E103412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",Y,Y,age < 21,,20,,
E103412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",Y,Y,age >= 21,,20,22,
E103413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",Y,Y,age < 21,,20,,
E103413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",Y,Y,age >= 21,,20,22,
E103419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,age < 21,,20,,
E103419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,age >= 21,,20,22,
E103491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",Y,Y,age < 21,,20,,
E103491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",Y,Y,age >= 21,,20,22,
E103492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",Y,Y,age < 21,,20,,
E103492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",Y,Y,age >= 21,,20,22,
E103493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",Y,Y,age < 21,,20,,
E103493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",Y,Y,age >= 21,,20,22,
E103499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,age < 21,,20,,
E103499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,age >= 21,,20,22,
E103511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",Y,Y,age < 21,,20,,
E103511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",Y,Y,age >= 21,,20,22,
E103512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",Y,Y,age < 21,,20,,
E103512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",Y,Y,age >= 21,,20,22,
E103513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",Y,Y,age < 21,,20,,
E103513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",Y,Y,age >= 21,,20,22,
E103519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,age < 21,,20,,
E103519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,age >= 21,,20,22,
E103521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",Y,Y,age < 21,,20,,
E103521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",Y,Y,age >= 21,,20,22,
E103522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",Y,Y,age < 21,,20,,
E103522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",Y,Y,age >= 21,,20,22,
E103523,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",Y,Y,age < 21,,20,,
E103523,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",Y,Y,age >= 21,,20,22,
E103529,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",Y,Y,age < 21,,20,,
E103529,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",Y,Y,age >= 21,,20,22,
E103531,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",Y,Y,age < 21,,20,,
E103531,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",Y,Y,age >= 21,,20,22,
E103532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",Y,Y,age < 21,,20,,
E103532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",Y,Y,age >= 21,,20,22,
E103533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",Y,Y,age < 21,,20,,
E103533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",Y,Y,age >= 21,,20,22,
E103539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",Y,Y,age < 21,,20,,
E103539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",Y,Y,age >= 21,,20,22,
E103541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",Y,Y,age < 21,,20,,
E103541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",Y,Y,age >= 21,,20,22,
E103542,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",Y,Y,age < 21,,20,,
E103542,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",Y,Y,age >= 21,,20,22,
E103543,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",Y,Y,age < 21,,20,,
E103543,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",Y,Y,age >= 21,,20,22,
E103549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",Y,Y,age < 21,,20,,
E103549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",Y,Y,age >= 21,,20,22,
E103551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",Y,Y,age < 21,,20,,
E103551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",Y,Y,age >= 21,,20,22,
E103552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",Y,Y,age < 21,,20,,
E103552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",Y,Y,age >= 21,,20,22,
E103553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",Y,Y,age < 21,,20,,
E103553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",Y,Y,age >= 21,,20,22,
E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",Y,Y,age < 21,,20,,
E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",Y,Y,age >= 21,,20,22,
E103591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",Y,Y,age < 21,,20,,
E103591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",Y,Y,age >= 21,,20,22,
E103592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",Y,Y,age < 21,,20,,
E103592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",Y,Y,age >= 21,,20,22,
E103593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",Y,Y,age < 21,,20,,
E103593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",Y,Y,age >= 21,,20,22,
E103599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,age < 21,,20,,
E103599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,age >= 21,,20,22,
E1036,Type 1 diabetes mellitus with diabetic cataract,Y,Y,age < 21,,20,,
E1036,Type 1 diabetes mellitus with diabetic cataract,Y,Y,age >= 21,,20,22,
E1037X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",Y,Y,age < 21,,20,,
E1037X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",Y,Y,age >= 21,,20,22,
E1037X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",Y,Y,age < 21,,20,,
E1037X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",Y,Y,age >= 21,,20,22,
E1037X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",Y,Y,age < 21,,20,,
E1037X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",Y,Y,age >= 21,,20,22,
E1037X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",Y,Y,age < 21,,20,,
E1037X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",Y,Y,age >= 21,,20,22,
E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication,Y,Y,age < 21,,20,,
E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication,Y,Y,age >= 21,,20,22,
E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",Y,Y,age < 21,,20,,
E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",Y,Y,age >= 21,,20,22,
E1041,Type 1 diabetes mellitus with diabetic mononeuropathy,Y,Y,age < 21,,20,,
E1041,Type 1 diabetes mellitus with diabetic mononeuropathy,Y,Y,age >= 21,,20,22,
E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,Y,Y,age < 21,,20,,
E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,Y,Y,age >= 21,,20,22,
E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,Y,Y,age < 21,,20,,
E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,Y,Y,age >= 21,,20,22,
E1044,Type 1 diabetes mellitus with diabetic amyotrophy,Y,Y,age < 21,,20,,
E1044,Type 1 diabetes mellitus with diabetic amyotrophy,Y,Y,age >= 21,,20,22,
E1049,Type 1 diabetes mellitus with other diabetic neurological complication,Y,Y,age < 21,,20,,
E1049,Type 1 diabetes mellitus with other diabetic neurological complication,Y,Y,age >= 21,,20,22,
E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,Y,Y,age < 21,,20,,
E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,Y,Y,age >= 21,,20,22,
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,Y,Y,age >= 21,,20,22,153
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,Y,Y,age < 21,,20,153,
E1059,Type 1 diabetes mellitus with other circulatory complications,Y,Y,age < 21,,20,,
E1059,Type 1 diabetes mellitus with other circulatory complications,Y,Y,age >= 21,,20,22,
E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,Y,Y,age < 21,,20,,
E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,Y,Y,age >= 21,,20,22,
E10618,Type 1 diabetes mellitus with other diabetic arthropathy,Y,Y,age < 21,,20,,
E10618,Type 1 diabetes mellitus with other diabetic arthropathy,Y,Y,age >= 21,,20,22,
E10620,Type 1 diabetes mellitus with diabetic dermatitis,Y,Y,age < 21,,20,,
E10620,Type 1 diabetes mellitus with diabetic dermatitis,Y,Y,age >= 21,,20,22,
E10621,Type 1 diabetes mellitus with foot ulcer,Y,Y,age < 21,,20,,
E10621,Type 1 diabetes mellitus with foot ulcer,Y,Y,age >= 21,,20,22,
E10622,Type 1 diabetes mellitus with other skin ulcer,Y,Y,age < 21,,20,,
E10622,Type 1 diabetes mellitus with other skin ulcer,Y,Y,age >= 21,,20,22,
E10628,Type 1 diabetes mellitus with other skin complications,Y,Y,age < 21,,20,,
E10628,Type 1 diabetes mellitus with other skin complications,Y,Y,age >= 21,,20,22,
E10630,Type 1 diabetes mellitus with periodontal disease,Y,Y,age < 21,,20,,
E10630,Type 1 diabetes mellitus with periodontal disease,Y,Y,age >= 21,,20,22,
E10638,Type 1 diabetes mellitus with other oral complications,Y,Y,age < 21,,20,,
E10638,Type 1 diabetes mellitus with other oral complications,Y,Y,age >= 21,,20,22,
E10641,Type 1 diabetes mellitus with hypoglycemia with coma,Y,Y,age < 21,,19,,
E10641,Type 1 diabetes mellitus with hypoglycemia with coma,Y,Y,age >= 21,,19,22,
E10649,Type 1 diabetes mellitus with hypoglycemia without coma,Y,Y,age < 21,,21,,
E10649,Type 1 diabetes mellitus with hypoglycemia without coma,Y,Y,age >= 21,,21,22,
E1065,Type 1 diabetes mellitus with hyperglycemia,Y,Y,age < 21,,21,,
E1065,Type 1 diabetes mellitus with hyperglycemia,Y,Y,age >= 21,,21,22,
E1069,Type 1 diabetes mellitus with other specified complication,Y,Y,age < 21,,20,,
E1069,Type 1 diabetes mellitus with other specified complication,Y,Y,age >= 21,,20,22,
E108,Type 1 diabetes mellitus with unspecified complications,Y,Y,age < 21,,21,,
E108,Type 1 diabetes mellitus with unspecified complications,Y,Y,age >= 21,,21,22,
E109,Type 1 diabetes mellitus without complications,Y,Y,age < 21,,21,,
E109,Type 1 diabetes mellitus without complications,Y,Y,age >= 21,,21,22,
E1100,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),Y,Y,,,19,,
E1101,Type 2 diabetes mellitus with hyperosmolarity with coma,Y,Y,,,19,,
E1110,Type 2 diabetes mellitus with ketoacidosis without coma,Y,Y,,,19,,
E1111,Type 2 diabetes mellitus with ketoacidosis with coma,Y,Y,,,19,,
E1121,Type 2 diabetes mellitus with diabetic nephropathy,Y,Y,,,20,,
E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,Y,Y,,,20,,
E1129,Type 2 diabetes mellitus with other diabetic kidney complication,Y,Y,,,20,,
E11311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,Y,Y,,,20,,
E11319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,Y,Y,,,20,,
E113211,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",Y,Y,,,20,,
E113212,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",Y,Y,,,20,,
E113213,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",Y,Y,,,20,,
E113219,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,,,20,,
E113291,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",Y,Y,,,20,,
E113292,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",Y,Y,,,20,,
E113293,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",Y,Y,,,20,,
E113299,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,,,20,,
E113311,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",Y,Y,,,20,,
E113312,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",Y,Y,,,20,,
E113313,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",Y,Y,,,20,,
E113319,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,,,20,,
E113391,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",Y,Y,,,20,,
E113392,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",Y,Y,,,20,,
E113393,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",Y,Y,,,20,,
E113399,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,,,20,,
E113411,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",Y,Y,,,20,,
E113412,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",Y,Y,,,20,,
E113413,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",Y,Y,,,20,,
E113419,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,,,20,,
E113491,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",Y,Y,,,20,,
E113492,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",Y,Y,,,20,,
E113493,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",Y,Y,,,20,,
E113499,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,,,20,,
E113511,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",Y,Y,,,20,,
E113512,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",Y,Y,,,20,,
E113513,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",Y,Y,,,20,,
E113519,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",Y,Y,,,20,,
E113521,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",Y,Y,,,20,,
E113522,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",Y,Y,,,20,,
E113523,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",Y,Y,,,20,,
E113529,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",Y,Y,,,20,,
E113531,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",Y,Y,,,20,,
E113532,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",Y,Y,,,20,,
E113533,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",Y,Y,,,20,,
E113539,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",Y,Y,,,20,,
E113541,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",Y,Y,,,20,,
E113542,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",Y,Y,,,20,,
E113543,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",Y,Y,,,20,,
E113549,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",Y,Y,,,20,,
E113551,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",Y,Y,,,20,,
E113552,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",Y,Y,,,20,,
E113553,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",Y,Y,,,20,,
E113559,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",Y,Y,,,20,,
E113591,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",Y,Y,,,20,,
E113592,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",Y,Y,,,20,,
E113593,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",Y,Y,,,20,,
E113599,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",Y,Y,,,20,,
E1136,Type 2 diabetes mellitus with diabetic cataract,Y,Y,,,20,,
E1137X1,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",Y,Y,,,20,,
E1137X2,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",Y,Y,,,20,,
E1137X3,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",Y,Y,,,20,,
E1137X9,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",Y,Y,,,20,,
E1139,Type 2 diabetes mellitus with other diabetic ophthalmic complication,Y,Y,,,20,,
E1140,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",Y,Y,,,20,,
E1141,Type 2 diabetes mellitus with diabetic mononeuropathy,Y,Y,,,20,,
E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,Y,Y,,,20,,
E1143,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,Y,Y,,,20,,
E1144,Type 2 diabetes mellitus with diabetic amyotrophy,Y,Y,,,20,,
E1149,Type 2 diabetes mellitus with other diabetic neurological complication,Y,Y,,,20,,
E1151,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,Y,Y,,,20,,
E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,Y,Y,,,20,153,
E1159,Type 2 diabetes mellitus with other circulatory complications,Y,Y,,,20,,
E11610,Type 2 diabetes mellitus with diabetic neuropathic arthropathy,Y,Y,,,20,,
E11618,Type 2 diabetes mellitus with other diabetic arthropathy,Y,Y,,,20,,
E11620,Type 2 diabetes mellitus with diabetic dermatitis,Y,Y,,,20,,
E11621,Type 2 diabetes mellitus with foot ulcer,Y,Y,,,20,,
E11622,Type 2 diabetes mellitus with other skin ulcer,Y,Y,,,20,,
E11628,Type 2 diabetes mellitus with other skin complications,Y,Y,,,20,,
E11630,Type 2 diabetes mellitus with periodontal disease,Y,Y,,,20,,
E11638,Type 2 diabetes mellitus with other oral complications,Y,Y,,,20,,
E11641,Type 2 diabetes mellitus with hypoglycemia with coma,Y,Y,,,19,,
E11649,Type 2 diabetes mellitus with hypoglycemia without coma,Y,Y,,,21,,
E1165,Type 2 diabetes mellitus with hyperglycemia,Y,Y,,,21,,
E1169,Type 2 diabetes mellitus with other specified complication,Y,Y,,,20,,
E118,Type 2 diabetes mellitus with unspecified complications,Y,Y,,,21,,
E119,Type 2 diabetes mellitus without complications,Y,Y,,,21,,
E1300,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),Y,Y,,,19,,
E1301,Other specified diabetes mellitus with hyperosmolarity with coma,Y,Y,,,19,,
E1310,Other specified diabetes mellitus with ketoacidosis without coma,Y,Y,,,19,,
E1311,Other specified diabetes mellitus with ketoacidosis with coma,Y,Y,,,19,,
E1321,Other specified diabetes mellitus with diabetic nephropathy,Y,Y,,,20,,
E1322,Other specified diabetes mellitus with diabetic chronic kidney disease,Y,Y,,,20,,
E1329,Other specified diabetes mellitus with other diabetic kidney complication,Y,Y,,,20,,
E13311,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,Y,Y,,,20,,
E13319,Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema,Y,Y,,,20,,
E133211,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",Y,Y,,,20,,
