icd10,icd10_label,valid_fy2025,valid_fy2026,cc_age_split,cc_sex_split,cc,second_cc,third_cc
A5481,Gonococcal meningitis,Y,Y,,,3,,
A5482,Gonococcal brain abscess,Y,Y,,,3,,
A5483,Gonococcal heart infection,Y,Y,,,135,,
A5485,Gonococcal peritonitis,Y,Y,,,42,,
A5486,Gonococcal sepsis,Y,Y,,,2,,
A666,Bone and joint lesions of yaws,Y,Y,,,55,,
A6921,Meningitis due to Lyme disease,Y,Y,,,3,,
A6923,Arthritis due to Lyme disease,Y,Y,,,55,,
A800,"Acute paralytic poliomyelitis, vaccine-associated",Y,Y,,,3,,
A801,"Acute paralytic poliomyelitis, wild virus, imported",Y,Y,,,3,,
A802,"Acute paralytic poliomyelitis, wild virus, indigenous",Y,Y,,,3,,
A8030,"Acute paralytic poliomyelitis, unspecified",Y,Y,,,3,,
A8039,Other acute paralytic poliomyelitis,Y,Y,,,3,,
A804,Acute nonparalytic poliomyelitis,Y,Y,,,3,,
A809,"Acute poliomyelitis, unspecified",Y,Y,,,3,,
A820,Sylvatic rabies,Y,Y,,,3,,
A821,Urban rabies,Y,Y,,,3,,
A829,"Rabies, unspecified",Y,Y,,,3,,
A830,Japanese encephalitis,Y,Y,,,3,,
A831,Western equine encephalitis,Y,Y,,,3,,
A832,Eastern equine encephalitis,Y,Y,,,3,,
A833,St Louis encephalitis,Y,Y,,,3,,
A834,Australian encephalitis,Y,Y,,,3,,
A835,California encephalitis,Y,Y,,,3,,
A836,Rocio virus disease,Y,Y,,,3,,
A838,Other mosquito-borne viral encephalitis,Y,Y,,,3,,
A839,"Mosquito-borne viral encephalitis, unspecified",Y,Y,,,3,,
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],Y,Y,,,3,,
A841,Central European tick-borne encephalitis,Y,Y,,,3,,
A8481,Powassan virus disease,Y,Y,,,3,,
A8489,Other tick-borne viral encephalitis,Y,Y,,,3,,
A849,"Tick-borne viral encephalitis, unspecified",Y,Y,,,3,,
A850,Enteroviral encephalitis,Y,Y,,,3,,
A851,Adenoviral encephalitis,Y,Y,,,3,,
A852,"Arthropod-borne viral encephalitis, unspecified",Y,Y,,,3,,
A858,Other specified viral encephalitis,Y,Y,,,3,,
A86,Unspecified viral encephalitis,Y,Y,,,3,,
A870,Enteroviral meningitis,Y,Y,,,4,,
A871,Adenoviral meningitis,Y,Y,,,4,,
A872,Lymphocytic choriomeningitis,Y,Y,,,4,,
A878,Other viral meningitis,Y,Y,,,4,,
A879,"Viral meningitis, unspecified",Y,Y,,,4,,
A880,Enteroviral exanthematous fever [Boston exanthem],Y,Y,,,4,,
A888,Other specified viral infections of central nervous system,Y,Y,,,3,,
A89,Unspecified viral infection of central nervous system,Y,Y,,,3,,
A922,Venezuelan equine fever,Y,Y,,,3,,
A9230,"West Nile virus infection, unspecified",Y,Y,,,3,,
A9231,West Nile virus infection with encephalitis,Y,Y,,,3,,
A9232,West Nile virus infection with other neurologic manifestation,Y,Y,,,3,,
A9239,West Nile virus infection with other complications,Y,Y,,,3,,
B003,Herpesviral meningitis,Y,Y,,,4,,
B004,Herpesviral encephalitis,Y,Y,,,3,,
B007,Disseminated herpesviral disease,Y,Y,,,2,,
B0082,Herpes simplex myelitis,Y,Y,,,110,,
B010,Varicella meningitis,Y,Y,,,4,,
B0111,Varicella encephalitis and encephalomyelitis,Y,Y,,,3,,
B0112,Varicella myelitis,Y,Y,,,110,,
B020,Zoster encephalitis,Y,Y,,,3,,
B021,Zoster meningitis,Y,Y,,,4,,
B0224,Postherpetic myelitis,Y,Y,,,110,,
B050,Measles complicated by encephalitis,Y,Y,,,3,,
B051,Measles complicated by meningitis,Y,Y,,,4,,
B0601,Rubella encephalitis,Y,Y,,,3,,
B0602,Rubella meningitis,Y,Y,,,4,,
B0682,Rubella arthritis,Y,Y,,,55,,
B1001,Human herpesvirus 6 encephalitis,Y,Y,,,3,,
B1009,Other human herpesvirus encephalitis,Y,Y,,,3,,
B150,Hepatitis A with hepatic coma,Y,Y,,,35.1,,
B160,Acute hepatitis B with delta-agent with hepatic coma,Y,Y,,,35.1,,
B162,Acute hepatitis B without delta-agent with hepatic coma,Y,Y,,,35.1,,
B1711,Acute hepatitis C with hepatic coma,Y,Y,,,35.1,,
B180,Chronic viral hepatitis B with delta-agent,Y,Y,,,37.2,,
B181,Chronic viral hepatitis B without delta-agent,Y,Y,,,37.2,,
B182,Chronic viral hepatitis C,Y,Y,,,37.1,,
B188,Other chronic viral hepatitis,Y,Y,,,37.2,,
B189,"Chronic viral hepatitis, unspecified",Y,Y,,,37.2,,
B190,Unspecified viral hepatitis with hepatic coma,Y,Y,,,35.1,,
B1911,Unspecified viral hepatitis B with hepatic coma,Y,Y,,,35.1,,
B1921,Unspecified viral hepatitis C with hepatic coma,Y,Y,,,35.1,,
B20,Human immunodeficiency virus [HIV] disease,Y,Y,,,1,,
B250,Cytomegaloviral pneumonitis,Y,Y,,,6,,
B251,Cytomegaloviral hepatitis,Y,Y,,,6,,
B252,Cytomegaloviral pancreatitis,Y,Y,,,6,47,
B258,Other cytomegaloviral diseases,Y,Y,,,6,,
B259,"Cytomegaloviral disease, unspecified",Y,Y,,,6,,
B261,Mumps meningitis,Y,Y,,,4,,
B262,Mumps encephalitis,Y,Y,,,3,,
B263,Mumps pancreatitis,Y,Y,,,47,,
B2682,Mumps myocarditis,Y,Y,,,135,,
B2685,Mumps arthritis,Y,Y,,,55,,
B2702,Gammaherpesviral mononucleosis with meningitis,Y,Y,,,4,,
B2712,Cytomegaloviral mononucleosis with meningitis,Y,Y,,,4,,
B2782,Other infectious mononucleosis with meningitis,Y,Y,,,4,,
B2792,"Infectious mononucleosis, unspecified with meningitis",Y,Y,,,4,,
B3320,"Viral carditis, unspecified",Y,Y,,,135,,
B3321,Viral endocarditis,Y,Y,,,135,,
B3322,Viral myocarditis,Y,Y,,,135,,
B3323,Viral pericarditis,Y,Y,,,135,,
B3324,Viral cardiomyopathy,Y,Y,,,130,,
B371,Pulmonary candidiasis,Y,Y,,,6,,
B375,Candidal meningitis,Y,Y,,,3,,
B376,Candidal endocarditis,Y,Y,,,135,,
B377,Candidal sepsis,Y,Y,,,2,6,
B3781,Candidal esophagitis,Y,Y,,,6,,
B380,Acute pulmonary coccidioidomycosis,Y,Y,,,163,,
B381,Chronic pulmonary coccidioidomycosis,Y,Y,,,163,,
B382,"Pulmonary coccidioidomycosis, unspecified",Y,Y,,,163,,
B384,Coccidioidomycosis meningitis,Y,Y,,,3,,
B390,Acute pulmonary histoplasmosis capsulati,Y,Y,,,163,,
B391,Chronic pulmonary histoplasmosis capsulati,Y,Y,,,163,,
B392,"Pulmonary histoplasmosis capsulati, unspecified",Y,Y,,,163,,
B400,Acute pulmonary blastomycosis,Y,Y,,,163,,
B401,Chronic pulmonary blastomycosis,Y,Y,,,163,,
B402,"Pulmonary blastomycosis, unspecified",Y,Y,,,163,,
B4081,Blastomycotic meningoencephalitis,Y,Y,,,3,,
B410,Pulmonary paracoccidioidomycosis,Y,Y,,,163,,
B4281,Cerebral sporotrichosis,Y,Y,,,3,,
B4282,Sporotrichosis arthritis,Y,Y,,,55,,
B431,Pheomycotic brain abscess,Y,Y,,,3,,
B440,Invasive pulmonary aspergillosis,Y,Y,,,6,,
B441,Other pulmonary aspergillosis,Y,Y,,,6,,
B442,Tonsillar aspergillosis,Y,Y,,,6,,
B447,Disseminated aspergillosis,Y,Y,,,6,,
B4481,Allergic bronchopulmonary aspergillosis,Y,Y,,,162,,
B4489,Other forms of aspergillosis,Y,Y,,,6,,
B449,"Aspergillosis, unspecified",Y,Y,,,6,,
B450,Pulmonary cryptococcosis,Y,Y,,,6,,
B451,Cerebral cryptococcosis,Y,Y,,,6,,
B452,Cutaneous cryptococcosis,Y,Y,,,6,,
B453,Osseous cryptococcosis,Y,Y,,,6,,
B457,Disseminated cryptococcosis,Y,Y,,,6,,
B458,Other forms of cryptococcosis,Y,Y,,,6,,
B459,"Cryptococcosis, unspecified",Y,Y,,,6,,
B460,Pulmonary mucormycosis,Y,Y,,,6,,
B461,Rhinocerebral mucormycosis,Y,Y,,,6,,
B462,Gastrointestinal mucormycosis,Y,Y,,,6,,
B463,Cutaneous mucormycosis,Y,Y,,,6,,
B464,Disseminated mucormycosis,Y,Y,,,6,,
B465,"Mucormycosis, unspecified",Y,Y,,,6,,
B468,Other zygomycoses,Y,Y,,,6,,
B469,"Zygomycosis, unspecified",Y,Y,,,6,,
B484,Penicillosis,Y,Y,,,6,,
B488,Other specified mycoses,Y,Y,,,6,,
B5741,Meningitis in Chagas' disease,Y,Y,,,3,,
B5742,Meningoencephalitis in Chagas' disease,Y,Y,,,3,,
B582,Toxoplasma meningoencephalitis,Y,Y,,,6,,
B583,Pulmonary toxoplasmosis,Y,Y,,,6,,
B5881,Toxoplasma myocarditis,Y,Y,,,135,,
B59,Pneumocystosis,Y,Y,,,6,,
B6011,Meningoencephalitis due to Acanthamoeba (culbertsoni),Y,Y,,,3,,
B664,Paragonimiasis,Y,Y,,,163,,
B671,Echinococcus granulosus infection of lung,Y,Y,,,163,,
B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",Y,Y,,,1,,
C01,Malignant neoplasm of base of tongue,Y,Y,,,11,,
C020,Malignant neoplasm of dorsal surface of tongue,Y,Y,,,11,,
C021,Malignant neoplasm of border of tongue,Y,Y,,,11,,
C022,Malignant neoplasm of ventral surface of tongue,Y,Y,,,11,,
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Y,Y,,,11,,
C024,Malignant neoplasm of lingual tonsil,Y,Y,,,11,,
C028,Malignant neoplasm of overlapping sites of tongue,Y,Y,,,11,,
C029,"Malignant neoplasm of tongue, unspecified",Y,Y,,,11,,
C030,Malignant neoplasm of upper gum,Y,Y,,,11,,
C031,Malignant neoplasm of lower gum,Y,Y,,,11,,
C039,"Malignant neoplasm of gum, unspecified",Y,Y,,,11,,
C040,Malignant neoplasm of anterior floor of mouth,Y,Y,,,11,,
C041,Malignant neoplasm of lateral floor of mouth,Y,Y,,,11,,
C048,Malignant neoplasm of overlapping sites of floor of mouth,Y,Y,,,11,,
C049,"Malignant neoplasm of floor of mouth, unspecified",Y,Y,,,11,,
C050,Malignant neoplasm of hard palate,Y,Y,,,11,,
C051,Malignant neoplasm of soft palate,Y,Y,,,11,,
C052,Malignant neoplasm of uvula,Y,Y,,,11,,
C058,Malignant neoplasm of overlapping sites of palate,Y,Y,,,11,,
C059,"Malignant neoplasm of palate, unspecified",Y,Y,,,11,,
C060,Malignant neoplasm of cheek mucosa,Y,Y,,,11,,
C061,Malignant neoplasm of vestibule of mouth,Y,Y,,,11,,
C062,Malignant neoplasm of retromolar area,Y,Y,,,11,,
C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,Y,Y,,,11,,
C0689,Malignant neoplasm of overlapping sites of other parts of mouth,Y,Y,,,11,,
C069,"Malignant neoplasm of mouth, unspecified",Y,Y,,,11,,
C07,Malignant neoplasm of parotid gland,Y,Y,,,11,,
C080,Malignant neoplasm of submandibular gland,Y,Y,,,11,,
C081,Malignant neoplasm of sublingual gland,Y,Y,,,11,,
