model,metal_level,factor_type,factor_key,factor_label,coefficient
adult,catastrophic,diagnosis,HCC074,Disorders of the Immune Mechanism,4.127
adult,platinum,diagnosis,HCC075,Coagulation Defects and Other Specified Hematological Disorders,2.132
adult,gold,diagnosis,HCC075,Coagulation Defects and Other Specified Hematological Disorders,2.052
adult,silver,diagnosis,HCC075,Coagulation Defects and Other Specified Hematological Disorders,2.004
adult,bronze,diagnosis,HCC075,Coagulation Defects and Other Specified Hematological Disorders,1.932
adult,catastrophic,diagnosis,HCC075,Coagulation Defects and Other Specified Hematological Disorders,1.921
adult,platinum,diagnosis,HCC081,Drug Use with Psychotic Complications,1.499
adult,gold,diagnosis,HCC081,Drug Use with Psychotic Complications,1.373
adult,silver,diagnosis,HCC081,Drug Use with Psychotic Complications,1.281
adult,bronze,diagnosis,HCC081,Drug Use with Psychotic Complications,1.147
adult,catastrophic,diagnosis,HCC081,Drug Use with Psychotic Complications,1.122
adult,platinum,diagnosis,HCC082,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications",1.499
adult,gold,diagnosis,HCC082,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications",1.373
adult,silver,diagnosis,HCC082,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications",1.281
adult,bronze,diagnosis,HCC082,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications",1.147
adult,catastrophic,diagnosis,HCC082,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications",1.122
adult,platinum,diagnosis,HCC083,Alcohol Use with Psychotic Complications,0.861
adult,gold,diagnosis,HCC083,Alcohol Use with Psychotic Complications,0.749
adult,silver,diagnosis,HCC083,Alcohol Use with Psychotic Complications,0.677
adult,bronze,diagnosis,HCC083,Alcohol Use with Psychotic Complications,0.573
adult,catastrophic,diagnosis,HCC083,Alcohol Use with Psychotic Complications,0.557
adult,platinum,diagnosis,HCC084,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications",0.861
adult,gold,diagnosis,HCC084,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications",0.749
adult,silver,diagnosis,HCC084,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications",0.677
adult,bronze,diagnosis,HCC084,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications",0.573
adult,catastrophic,diagnosis,HCC084,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications",0.557
adult,platinum,diagnosis,HCC087_1,Schizophrenia,2.216
adult,gold,diagnosis,HCC087_1,Schizophrenia,2.050
adult,silver,diagnosis,HCC087_1,Schizophrenia,1.969
adult,bronze,diagnosis,HCC087_1,Schizophrenia,1.845
adult,catastrophic,diagnosis,HCC087_1,Schizophrenia,1.829
adult,platinum,diagnosis,HCC087_2,"Delusional and Other Specified Psychotic Disorders, Unspecified Psychosis",2.101
adult,gold,diagnosis,HCC087_2,"Delusional and Other Specified Psychotic Disorders, Unspecified Psychosis",1.942
adult,silver,diagnosis,HCC087_2,"Delusional and Other Specified Psychotic Disorders, Unspecified Psychosis",1.857
adult,bronze,diagnosis,HCC087_2,"Delusional and Other Specified Psychotic Disorders, Unspecified Psychosis",1.719
adult,catastrophic,diagnosis,HCC087_2,"Delusional and Other Specified Psychotic Disorders, Unspecified Psychosis",1.700
adult,platinum,diagnosis,HCC088,"Major Depressive Disorder, Severe, and bipolar disorders",0.920
adult,gold,diagnosis,HCC088,"Major Depressive Disorder, Severe, and bipolar disorders",0.826
adult,silver,diagnosis,HCC088,"Major Depressive Disorder, Severe, and bipolar disorders",0.742
adult,bronze,diagnosis,HCC088,"Major Depressive Disorder, Severe, and bipolar disorders",0.632
adult,catastrophic,diagnosis,HCC088,"Major Depressive Disorder, Severe, and bipolar disorders",0.611
adult,platinum,diagnosis,HCC090,Personality Disorders,0.636
adult,gold,diagnosis,HCC090,Personality Disorders,0.563
adult,silver,diagnosis,HCC090,Personality Disorders,0.473
adult,bronze,diagnosis,HCC090,Personality Disorders,0.366
adult,catastrophic,diagnosis,HCC090,Personality Disorders,0.342
adult,platinum,diagnosis,HCC094,Anorexia/Bulimia Nervosa,1.899
adult,gold,diagnosis,HCC094,Anorexia/Bulimia Nervosa,1.795
adult,silver,diagnosis,HCC094,Anorexia/Bulimia Nervosa,1.727
adult,bronze,diagnosis,HCC094,Anorexia/Bulimia Nervosa,1.625
adult,catastrophic,diagnosis,HCC094,Anorexia/Bulimia Nervosa,1.607
adult,platinum,diagnosis,HCC096,"Prader-Willi, Patau, Edwards, and Autosomal Deletion Syndromes",9.089
adult,gold,diagnosis,HCC096,"Prader-Willi, Patau, Edwards, and Autosomal Deletion Syndromes",9.062
adult,silver,diagnosis,HCC096,"Prader-Willi, Patau, Edwards, and Autosomal Deletion Syndromes",9.032
adult,bronze,diagnosis,HCC096,"Prader-Willi, Patau, Edwards, and Autosomal Deletion Syndromes",8.996
adult,catastrophic,diagnosis,HCC096,"Prader-Willi, Patau, Edwards, and Autosomal Deletion Syndromes",8.984
adult,platinum,diagnosis,HCC097,"Down Syndrome, Fragile X, Other Chromosomal Anomalies, and Congenital Malformation Syndromes",0.818
adult,gold,diagnosis,HCC097,"Down Syndrome, Fragile X, Other Chromosomal Anomalies, and Congenital Malformation Syndromes",0.757
adult,silver,diagnosis,HCC097,"Down Syndrome, Fragile X, Other Chromosomal Anomalies, and Congenital Malformation Syndromes",0.711
adult,bronze,diagnosis,HCC097,"Down Syndrome, Fragile X, Other Chromosomal Anomalies, and Congenital Malformation Syndromes",0.654
adult,catastrophic,diagnosis,HCC097,"Down Syndrome, Fragile X, Other Chromosomal Anomalies, and Congenital Malformation Syndromes",0.644
adult,platinum,diagnosis,HCC102,Autistic Disorder,0.683
adult,gold,diagnosis,HCC102,Autistic Disorder,0.609
adult,silver,diagnosis,HCC102,Autistic Disorder,0.525
adult,bronze,diagnosis,HCC102,Autistic Disorder,0.431
adult,catastrophic,diagnosis,HCC102,Autistic Disorder,0.411
adult,platinum,diagnosis,HCC103,"Pervasive Developmental Disorders, Except Autistic Disorder",0.636
adult,gold,diagnosis,HCC103,"Pervasive Developmental Disorders, Except Autistic Disorder",0.563
adult,silver,diagnosis,HCC103,"Pervasive Developmental Disorders, Except Autistic Disorder",0.473
adult,bronze,diagnosis,HCC103,"Pervasive Developmental Disorders, Except Autistic Disorder",0.366
adult,catastrophic,diagnosis,HCC103,"Pervasive Developmental Disorders, Except Autistic Disorder",0.342
adult,platinum,diagnosis,HCC106,Traumatic Complete Lesion Cervical Spinal Cord,9.269
adult,gold,diagnosis,HCC106,Traumatic Complete Lesion Cervical Spinal Cord,9.111
adult,silver,diagnosis,HCC106,Traumatic Complete Lesion Cervical Spinal Cord,9.058
adult,bronze,diagnosis,HCC106,Traumatic Complete Lesion Cervical Spinal Cord,8.961
adult,catastrophic,diagnosis,HCC106,Traumatic Complete Lesion Cervical Spinal Cord,8.951
adult,platinum,diagnosis,HCC107,Quadriplegia,9.269
adult,gold,diagnosis,HCC107,Quadriplegia,9.111
adult,silver,diagnosis,HCC107,Quadriplegia,9.058
adult,bronze,diagnosis,HCC107,Quadriplegia,8.961
adult,catastrophic,diagnosis,HCC107,Quadriplegia,8.951
adult,platinum,diagnosis,HCC108,Traumatic Complete Lesion Dorsal Spinal Cord,6.187
adult,gold,diagnosis,HCC108,Traumatic Complete Lesion Dorsal Spinal Cord,6.045
adult,silver,diagnosis,HCC108,Traumatic Complete Lesion Dorsal Spinal Cord,5.988
adult,bronze,diagnosis,HCC108,Traumatic Complete Lesion Dorsal Spinal Cord,5.890
adult,catastrophic,diagnosis,HCC108,Traumatic Complete Lesion Dorsal Spinal Cord,5.878
adult,platinum,diagnosis,HCC109,Paraplegia,6.187
adult,gold,diagnosis,HCC109,Paraplegia,6.045
adult,silver,diagnosis,HCC109,Paraplegia,5.988
adult,bronze,diagnosis,HCC109,Paraplegia,5.890
adult,catastrophic,diagnosis,HCC109,Paraplegia,5.878
adult,platinum,diagnosis,HCC110,Spinal Cord Disorders/Injuries,4.884
adult,gold,diagnosis,HCC110,Spinal Cord Disorders/Injuries,4.706
adult,silver,diagnosis,HCC110,Spinal Cord Disorders/Injuries,4.655
adult,bronze,diagnosis,HCC110,Spinal Cord Disorders/Injuries,4.552
adult,catastrophic,diagnosis,HCC110,Spinal Cord Disorders/Injuries,4.543
adult,platinum,diagnosis,HCC111,Amyotrophic Lateral Sclerosis and Other Anterior Horn Cell Disease,4.963
adult,gold,diagnosis,HCC111,Amyotrophic Lateral Sclerosis and Other Anterior Horn Cell Disease,4.820
adult,silver,diagnosis,HCC111,Amyotrophic Lateral Sclerosis and Other Anterior Horn Cell Disease,4.753
adult,bronze,diagnosis,HCC111,Amyotrophic Lateral Sclerosis and Other Anterior Horn Cell Disease,4.640
adult,catastrophic,diagnosis,HCC111,Amyotrophic Lateral Sclerosis and Other Anterior Horn Cell Disease,4.624
adult,platinum,diagnosis,HCC112,Quadriplegic Cerebral Palsy,0.615
adult,gold,diagnosis,HCC112,Quadriplegic Cerebral Palsy,0.527
adult,silver,diagnosis,HCC112,Quadriplegic Cerebral Palsy,0.462
adult,bronze,diagnosis,HCC112,Quadriplegic Cerebral Palsy,0.366
adult,catastrophic,diagnosis,HCC112,Quadriplegic Cerebral Palsy,0.350
adult,platinum,diagnosis,HCC113,"Cerebral Palsy, Except Quadriplegic",0.339
adult,gold,diagnosis,HCC113,"Cerebral Palsy, Except Quadriplegic",0.274
adult,silver,diagnosis,HCC113,"Cerebral Palsy, Except Quadriplegic",0.221
adult,bronze,diagnosis,HCC113,"Cerebral Palsy, Except Quadriplegic",0.149
adult,catastrophic,diagnosis,HCC113,"Cerebral Palsy, Except Quadriplegic",0.135
adult,platinum,diagnosis,HCC114,Spina Bifida and Other Brain/Spinal/Nervous System Congenital Anomalies,1.165
adult,gold,diagnosis,HCC114,Spina Bifida and Other Brain/Spinal/Nervous System Congenital Anomalies,1.083
adult,silver,diagnosis,HCC114,Spina Bifida and Other Brain/Spinal/Nervous System Congenital Anomalies,1.027
adult,bronze,diagnosis,HCC114,Spina Bifida and Other Brain/Spinal/Nervous System Congenital Anomalies,0.937
adult,catastrophic,diagnosis,HCC114,Spina Bifida and Other Brain/Spinal/Nervous System Congenital Anomalies,0.921
adult,platinum,diagnosis,HCC115,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy,5.056
adult,gold,diagnosis,HCC115,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy,4.973
adult,silver,diagnosis,HCC115,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy,4.956
adult,bronze,diagnosis,HCC115,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy,4.917
adult,catastrophic,diagnosis,HCC115,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy,4.915
adult,platinum,diagnosis,HCC117,Muscular Dystrophy,1.326
adult,gold,diagnosis,HCC117,Muscular Dystrophy,1.238
adult,silver,diagnosis,HCC117,Muscular Dystrophy,1.172
adult,bronze,diagnosis,HCC117,Muscular Dystrophy,1.078
adult,catastrophic,diagnosis,HCC117,Muscular Dystrophy,1.060
adult,platinum,diagnosis,HCC118,Multiple Sclerosis,2.667
adult,gold,diagnosis,HCC118,Multiple Sclerosis,2.537
adult,silver,diagnosis,HCC118,Multiple Sclerosis,2.480
adult,bronze,diagnosis,HCC118,Multiple Sclerosis,2.384
adult,catastrophic,diagnosis,HCC118,Multiple Sclerosis,2.371
adult,platinum,diagnosis,HCC119,"Parkinson's, Huntington's, and Spinocerebellar Disease, and Other Neurodegenerative Disorders",1.326
adult,gold,diagnosis,HCC119,"Parkinson's, Huntington's, and Spinocerebellar Disease, and Other Neurodegenerative Disorders",1.238
adult,silver,diagnosis,HCC119,"Parkinson's, Huntington's, and Spinocerebellar Disease, and Other Neurodegenerative Disorders",1.172
adult,bronze,diagnosis,HCC119,"Parkinson's, Huntington's, and Spinocerebellar Disease, and Other Neurodegenerative Disorders",1.078
adult,catastrophic,diagnosis,HCC119,"Parkinson's, Huntington's, and Spinocerebellar Disease, and Other Neurodegenerative Disorders",1.060
adult,platinum,diagnosis,HCC120,Seizure Disorders and Convulsions,0.940
adult,gold,diagnosis,HCC120,Seizure Disorders and Convulsions,0.851
adult,silver,diagnosis,HCC120,Seizure Disorders and Convulsions,0.787
adult,bronze,diagnosis,HCC120,Seizure Disorders and Convulsions,0.697
adult,catastrophic,diagnosis,HCC120,Seizure Disorders and Convulsions,0.682
adult,platinum,diagnosis,HCC121,Hydrocephalus,9.455
adult,gold,diagnosis,HCC121,Hydrocephalus,9.363
adult,silver,diagnosis,HCC121,Hydrocephalus,9.316
adult,bronze,diagnosis,HCC121,Hydrocephalus,9.245
adult,catastrophic,diagnosis,HCC121,Hydrocephalus,9.234
adult,platinum,diagnosis,HCC122,"Nontraumatic Coma, Except Diabetic, Hepatic, or Hypoglycemic; Nontraumatic Brain Compression/Anoxic Damage",9.882
adult,gold,diagnosis,HCC122,"Nontraumatic Coma, Except Diabetic, Hepatic, or Hypoglycemic; Nontraumatic Brain Compression/Anoxic Damage",9.748
adult,silver,diagnosis,HCC122,"Nontraumatic Coma, Except Diabetic, Hepatic, or Hypoglycemic; Nontraumatic Brain Compression/Anoxic Damage",9.694
adult,bronze,diagnosis,HCC122,"Nontraumatic Coma, Except Diabetic, Hepatic, or Hypoglycemic; Nontraumatic Brain Compression/Anoxic Damage",9.603
adult,catastrophic,diagnosis,HCC122,"Nontraumatic Coma, Except Diabetic, Hepatic, or Hypoglycemic; Nontraumatic Brain Compression/Anoxic Damage",9.590
adult,platinum,diagnosis,HCC123,Narcolepsy and Cataplexy,4.525
adult,gold,diagnosis,HCC123,Narcolepsy and Cataplexy,4.398
adult,silver,diagnosis,HCC123,Narcolepsy and Cataplexy,4.338
adult,bronze,diagnosis,HCC123,Narcolepsy and Cataplexy,4.242
adult,catastrophic,diagnosis,HCC123,Narcolepsy and Cataplexy,4.228
adult,platinum,diagnosis,HCC125,Respirator Dependence/Tracheostomy Status,21.609
adult,gold,diagnosis,HCC125,Respirator Dependence/Tracheostomy Status,21.402
adult,silver,diagnosis,HCC125,Respirator Dependence/Tracheostomy Status,21.361
adult,bronze,diagnosis,HCC125,Respirator Dependence/Tracheostomy Status,21.274
adult,catastrophic,diagnosis,HCC125,Respirator Dependence/Tracheostomy Status,21.272
adult,platinum,diagnosis,HCC126,Respiratory Arrest,8.173
adult,gold,diagnosis,HCC126,Respiratory Arrest,7.958
adult,silver,diagnosis,HCC126,Respiratory Arrest,7.914
adult,bronze,diagnosis,HCC126,Respiratory Arrest,7.824
adult,catastrophic,diagnosis,HCC126,Respiratory Arrest,7.822
adult,platinum,diagnosis,HCC127,"Cardio-Respiratory Failure and Shock, Including Respiratory Distress Syndromes",8.173
adult,gold,diagnosis,HCC127,"Cardio-Respiratory Failure and Shock, Including Respiratory Distress Syndromes",7.958
adult,silver,diagnosis,HCC127,"Cardio-Respiratory Failure and Shock, Including Respiratory Distress Syndromes",7.914
adult,bronze,diagnosis,HCC127,"Cardio-Respiratory Failure and Shock, Including Respiratory Distress Syndromes",7.824
adult,catastrophic,diagnosis,HCC127,"Cardio-Respiratory Failure and Shock, Including Respiratory Distress Syndromes",7.822
adult,platinum,diagnosis,HCC128,Heart Assistive Device/Artificial Heart,15.142
adult,gold,diagnosis,HCC128,Heart Assistive Device/Artificial Heart,15.048
adult,silver,diagnosis,HCC128,Heart Assistive Device/Artificial Heart,15.018
adult,bronze,diagnosis,HCC128,Heart Assistive Device/Artificial Heart,14.981
adult,catastrophic,diagnosis,HCC128,Heart Assistive Device/Artificial Heart,14.985
adult,platinum,diagnosis,HCC129,Heart Transplant Status/Complications,15.142
adult,gold,diagnosis,HCC129,Heart Transplant Status/Complications,15.048
adult,silver,diagnosis,HCC129,Heart Transplant Status/Complications,15.018
adult,bronze,diagnosis,HCC129,Heart Transplant Status/Complications,14.981
adult,catastrophic,diagnosis,HCC129,Heart Transplant Status/Complications,14.985
adult,platinum,diagnosis,HCC130,Heart Failure,1.769
adult,gold,diagnosis,HCC130,Heart Failure,1.684
adult,silver,diagnosis,HCC130,Heart Failure,1.647
adult,bronze,diagnosis,HCC130,Heart Failure,1.582
adult,catastrophic,diagnosis,HCC130,Heart Failure,1.572
adult,platinum,diagnosis,HCC131,Acute Myocardial Infarction,4.649
adult,gold,diagnosis,HCC131,Acute Myocardial Infarction,4.429
adult,silver,diagnosis,HCC131,Acute Myocardial Infarction,4.403
adult,bronze,diagnosis,HCC131,Acute Myocardial Infarction,4.329
adult,catastrophic,diagnosis,HCC131,Acute Myocardial Infarction,4.332
adult,platinum,diagnosis,HCC132,Unstable Angina and Other Acute Ischemic Heart Disease,3.381
adult,gold,diagnosis,HCC132,Unstable Angina and Other Acute Ischemic Heart Disease,3.185
adult,silver,diagnosis,HCC132,Unstable Angina and Other Acute Ischemic Heart Disease,3.139
adult,bronze,diagnosis,HCC132,Unstable Angina and Other Acute Ischemic Heart Disease,3.036
adult,catastrophic,diagnosis,HCC132,Unstable Angina and Other Acute Ischemic Heart Disease,3.030
adult,platinum,diagnosis,HCC135,"Heart Infection/Inflammation, Except Rheumatic",8.375
adult,gold,diagnosis,HCC135,"Heart Infection/Inflammation, Except Rheumatic",8.290
adult,silver,diagnosis,HCC135,"Heart Infection/Inflammation, Except Rheumatic",8.235
adult,bronze,diagnosis,HCC135,"Heart Infection/Inflammation, Except Rheumatic",8.152
adult,catastrophic,diagnosis,HCC135,"Heart Infection/Inflammation, Except Rheumatic",8.135
adult,platinum,diagnosis,HCC137,Hypoplastic Left Heart Syndrome and Other Severe Congenital Heart Disorders,2.030
adult,gold,diagnosis,HCC137,Hypoplastic Left Heart Syndrome and Other Severe Congenital Heart Disorders,1.942
adult,silver,diagnosis,HCC137,Hypoplastic Left Heart Syndrome and Other Severe Congenital Heart Disorders,1.885
adult,bronze,diagnosis,HCC137,Hypoplastic Left Heart Syndrome and Other Severe Congenital Heart Disorders,1.810
adult,catastrophic,diagnosis,HCC137,Hypoplastic Left Heart Syndrome and Other Severe Congenital Heart Disorders,1.798
adult,platinum,diagnosis,HCC138,Major Congenital Heart/Circulatory Disorders,2.030
adult,gold,diagnosis,HCC138,Major Congenital Heart/Circulatory Disorders,1.942
adult,silver,diagnosis,HCC138,Major Congenital Heart/Circulatory Disorders,1.885
adult,bronze,diagnosis,HCC138,Major Congenital Heart/Circulatory Disorders,1.810
adult,catastrophic,diagnosis,HCC138,Major Congenital Heart/Circulatory Disorders,1.798
adult,platinum,diagnosis,HCC139,"Atrial and Ventricular Septal Defects, Patent Ductus Arteriosus, and Other Congenital Heart/Circulatory Disorders",2.030
adult,gold,diagnosis,HCC139,"Atrial and Ventricular Septal Defects, Patent Ductus Arteriosus, and Other Congenital Heart/Circulatory Disorders",1.942
adult,silver,diagnosis,HCC139,"Atrial and Ventricular Septal Defects, Patent Ductus Arteriosus, and Other Congenital Heart/Circulatory Disorders",1.885
adult,bronze,diagnosis,HCC139,"Atrial and Ventricular Septal Defects, Patent Ductus Arteriosus, and Other Congenital Heart/Circulatory Disorders",1.810
adult,catastrophic,diagnosis,HCC139,"Atrial and Ventricular Septal Defects, Patent Ductus Arteriosus, and Other Congenital Heart/Circulatory Disorders",1.798
adult,platinum,diagnosis,HCC142,Specified Heart Arrhythmias,1.828
adult,gold,diagnosis,HCC142,Specified Heart Arrhythmias,1.726
adult,silver,diagnosis,HCC142,Specified Heart Arrhythmias,1.660
adult,bronze,diagnosis,HCC142,Specified Heart Arrhythmias,1.556
adult,catastrophic,diagnosis,HCC142,Specified Heart Arrhythmias,1.536
adult,platinum,diagnosis,HCC145,Intracranial Hemorrhage,10.182
adult,gold,diagnosis,HCC145,Intracranial Hemorrhage,10.021
adult,silver,diagnosis,HCC145,Intracranial Hemorrhage,9.975
adult,bronze,diagnosis,HCC145,Intracranial Hemorrhage,9.888
adult,catastrophic,diagnosis,HCC145,Intracranial Hemorrhage,9.881
adult,platinum,diagnosis,HCC146,Ischemic or Unspecified Stroke,1.383
adult,gold,diagnosis,HCC146,Ischemic or Unspecified Stroke,1.270
adult,silver,diagnosis,HCC146,Ischemic or Unspecified Stroke,1.233
adult,bronze,diagnosis,HCC146,Ischemic or Unspecified Stroke,1.160
adult,catastrophic,diagnosis,HCC146,Ischemic or Unspecified Stroke,1.154
adult,platinum,diagnosis,HCC149,Cerebral Aneurysm and Arteriovenous Malformation,2.097
adult,gold,diagnosis,HCC149,Cerebral Aneurysm and Arteriovenous Malformation,1.980
adult,silver,diagnosis,HCC149,Cerebral Aneurysm and Arteriovenous Malformation,1.920
adult,bronze,diagnosis,HCC149,Cerebral Aneurysm and Arteriovenous Malformation,1.819
adult,catastrophic,diagnosis,HCC149,Cerebral Aneurysm and Arteriovenous Malformation,1.804
adult,platinum,diagnosis,HCC150,Hemiplegia/Hemiparesis,2.953
adult,gold,diagnosis,HCC150,Hemiplegia/Hemiparesis,2.832
adult,silver,diagnosis,HCC150,Hemiplegia/Hemiparesis,2.814
adult,bronze,diagnosis,HCC150,Hemiplegia/Hemiparesis,2.766
adult,catastrophic,diagnosis,HCC150,Hemiplegia/Hemiparesis,2.766
adult,platinum,diagnosis,HCC151,"Monoplegia, Other Paralytic Syndromes",2.464
adult,gold,diagnosis,HCC151,"Monoplegia, Other Paralytic Syndromes",2.353
adult,silver,diagnosis,HCC151,"Monoplegia, Other Paralytic Syndromes",2.305
adult,bronze,diagnosis,HCC151,"Monoplegia, Other Paralytic Syndromes",2.226
adult,catastrophic,diagnosis,HCC151,"Monoplegia, Other Paralytic Syndromes",2.217
adult,platinum,diagnosis,HCC153,Atherosclerosis of the Extremities with Ulceration or Gangrene,7.863
adult,gold,diagnosis,HCC153,Atherosclerosis of the Extremities with Ulceration or Gangrene,7.702
adult,silver,diagnosis,HCC153,Atherosclerosis of the Extremities with Ulceration or Gangrene,7.709
adult,bronze,diagnosis,HCC153,Atherosclerosis of the Extremities with Ulceration or Gangrene,7.683
adult,catastrophic,diagnosis,HCC153,Atherosclerosis of the Extremities with Ulceration or Gangrene,7.691
adult,platinum,diagnosis,HCC154,Vascular Disease with Complications,4.945
adult,gold,diagnosis,HCC154,Vascular Disease with Complications,4.802
adult,silver,diagnosis,HCC154,Vascular Disease with Complications,4.759
adult,bronze,diagnosis,HCC154,Vascular Disease with Complications,4.677
adult,catastrophic,diagnosis,HCC154,Vascular Disease with Complications,4.669
adult,platinum,diagnosis,HCC156,Pulmonary Embolism and Deep Vein Thrombosis,7.348
adult,gold,diagnosis,HCC156,Pulmonary Embolism and Deep Vein Thrombosis,7.269
adult,silver,diagnosis,HCC156,Pulmonary Embolism and Deep Vein Thrombosis,7.201
adult,bronze,diagnosis,HCC156,Pulmonary Embolism and Deep Vein Thrombosis,7.096
adult,catastrophic,diagnosis,HCC156,Pulmonary Embolism and Deep Vein Thrombosis,7.072
adult,platinum,diagnosis,HCC158,Lung Transplant Status/Complications,11.135
adult,gold,diagnosis,HCC158,Lung Transplant Status/Complications,11.055
adult,silver,diagnosis,HCC158,Lung Transplant Status/Complications,11.028
adult,bronze,diagnosis,HCC158,Lung Transplant Status/Complications,10.997
adult,catastrophic,diagnosis,HCC158,Lung Transplant Status/Complications,11.001
adult,platinum,diagnosis,HCC159,Cystic Fibrosis,3.817
adult,gold,diagnosis,HCC159,Cystic Fibrosis,3.696
adult,silver,diagnosis,HCC159,Cystic Fibrosis,3.643
adult,bronze,diagnosis,HCC159,Cystic Fibrosis,3.564
adult,catastrophic,diagnosis,HCC159,Cystic Fibrosis,3.554
adult,platinum,diagnosis,HCC160,"Chronic Obstructive Pulmonary Disease, Including Bronchiectasis",0.617
adult,gold,diagnosis,HCC160,"Chronic Obstructive Pulmonary Disease, Including Bronchiectasis",0.543
adult,silver,diagnosis,HCC160,"Chronic Obstructive Pulmonary Disease, Including Bronchiectasis",0.470
adult,bronze,diagnosis,HCC160,"Chronic Obstructive Pulmonary Disease, Including Bronchiectasis",0.379
adult,catastrophic,diagnosis,HCC160,"Chronic Obstructive Pulmonary Disease, Including Bronchiectasis",0.361
adult,platinum,diagnosis,HCC161_1,Severe Asthma,0.617
adult,gold,diagnosis,HCC161_1,Severe Asthma,0.543
adult,silver,diagnosis,HCC161_1,Severe Asthma,0.470
adult,bronze,diagnosis,HCC161_1,Severe Asthma,0.379
adult,catastrophic,diagnosis,HCC161_1,Severe Asthma,0.361
adult,platinum,diagnosis,HCC161_2,"Asthma, Except Severe",0.617
adult,gold,diagnosis,HCC161_2,"Asthma, Except Severe",0.543
adult,silver,diagnosis,HCC161_2,"Asthma, Except Severe",0.470
adult,bronze,diagnosis,HCC161_2,"Asthma, Except Severe",0.379
adult,catastrophic,diagnosis,HCC161_2,"Asthma, Except Severe",0.361
adult,platinum,diagnosis,HCC162,Fibrosis of Lung and Other Lung Disorders,1.545
adult,gold,diagnosis,HCC162,Fibrosis of Lung and Other Lung Disorders,1.465
adult,silver,diagnosis,HCC162,Fibrosis of Lung and Other Lung Disorders,1.411
adult,bronze,diagnosis,HCC162,Fibrosis of Lung and Other Lung Disorders,1.329
adult,catastrophic,diagnosis,HCC162,Fibrosis of Lung and Other Lung Disorders,1.314
adult,platinum,diagnosis,HCC163,Aspiration and Specified Bacterial Pneumonias and Other Severe Lung Infections,7.234
adult,gold,diagnosis,HCC163,Aspiration and Specified Bacterial Pneumonias and Other Severe Lung Infections,7.127
adult,silver,diagnosis,HCC163,Aspiration and Specified Bacterial Pneumonias and Other Severe Lung Infections,7.083
adult,bronze,diagnosis,HCC163,Aspiration and Specified Bacterial Pneumonias and Other Severe Lung Infections,7.012
adult,catastrophic,diagnosis,HCC163,Aspiration and Specified Bacterial Pneumonias and Other Severe Lung Infections,7.002
adult,platinum,diagnosis,HCC174,Exudative Macular Degeneration,1.163
adult,gold,diagnosis,HCC174,Exudative Macular Degeneration,1.040
adult,silver,diagnosis,HCC174,Exudative Macular Degeneration,0.950
adult,bronze,diagnosis,HCC174,Exudative Macular Degeneration,0.816
adult,catastrophic,diagnosis,HCC174,Exudative Macular Degeneration,0.795
adult,platinum,diagnosis,HCC183,Kidney Transplant Status/Complications,6.005
adult,gold,diagnosis,HCC183,Kidney Transplant Status/Complications,6.004
adult,silver,diagnosis,HCC183,Kidney Transplant Status/Complications,6.016
adult,bronze,diagnosis,HCC183,Kidney Transplant Status/Complications,6.019
adult,catastrophic,diagnosis,HCC183,Kidney Transplant Status/Complications,6.011
adult,platinum,diagnosis,HCC184,End Stage Renal Disease,19.254
adult,gold,diagnosis,HCC184,End Stage Renal Disease,18.858
adult,silver,diagnosis,HCC184,End Stage Renal Disease,18.971
adult,bronze,diagnosis,HCC184,End Stage Renal Disease,18.812
adult,catastrophic,diagnosis,HCC184,End Stage Renal Disease,18.725
adult,platinum,diagnosis,HCC187,"Chronic Kidney Disease, Stage 5",0.726
adult,gold,diagnosis,HCC187,"Chronic Kidney Disease, Stage 5",0.652
adult,silver,diagnosis,HCC187,"Chronic Kidney Disease, Stage 5",0.645
adult,bronze,diagnosis,HCC187,"Chronic Kidney Disease, Stage 5",0.607
adult,catastrophic,diagnosis,HCC187,"Chronic Kidney Disease, Stage 5",0.597
adult,platinum,diagnosis,HCC188,"Chronic Kidney Disease, Severe (Stage 4)",0.726
adult,gold,diagnosis,HCC188,"Chronic Kidney Disease, Severe (Stage 4)",0.652
