model,metal_level,factor_type,factor_key,factor_label,coefficient
adult,silver,demographic,"Age 50-54, Female","Age 50-54, Female",0.305
adult,bronze,demographic,"Age 50-54, Female","Age 50-54, Female",0.228
adult,catastrophic,demographic,"Age 50-54, Female","Age 50-54, Female",0.212
adult,platinum,demographic,"Age 55-59, Female","Age 55-59, Female",0.469
adult,gold,demographic,"Age 55-59, Female","Age 55-59, Female",0.359
adult,silver,demographic,"Age 55-59, Female","Age 55-59, Female",0.268
adult,bronze,demographic,"Age 55-59, Female","Age 55-59, Female",0.192
adult,catastrophic,demographic,"Age 55-59, Female","Age 55-59, Female",0.176
adult,platinum,demographic,"Age 60-64, Female","Age 60-64, Female",0.459
adult,gold,demographic,"Age 60-64, Female","Age 60-64, Female",0.347
adult,silver,demographic,"Age 60-64, Female","Age 60-64, Female",0.254
adult,bronze,demographic,"Age 60-64, Female","Age 60-64, Female",0.177
adult,catastrophic,demographic,"Age 60-64, Female","Age 60-64, Female",0.161
adult,platinum,diagnosis,HCC001,HIV/AIDS,0.099
adult,gold,diagnosis,HCC001,HIV/AIDS,0.068
adult,silver,diagnosis,HCC001,HIV/AIDS,0.054
adult,bronze,diagnosis,HCC001,HIV/AIDS,0.036
adult,catastrophic,diagnosis,HCC001,HIV/AIDS,0.034
adult,platinum,diagnosis,HCC002,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",8.766
adult,gold,diagnosis,HCC002,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",8.566
adult,silver,diagnosis,HCC002,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",8.518
adult,bronze,diagnosis,HCC002,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",8.426
adult,catastrophic,diagnosis,HCC002,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",8.424
adult,platinum,diagnosis,HCC003,"Central Nervous System Infections, Except Viral Meningitis",7.893
adult,gold,diagnosis,HCC003,"Central Nervous System Infections, Except Viral Meningitis",7.795
adult,silver,diagnosis,HCC003,"Central Nervous System Infections, Except Viral Meningitis",7.749
adult,bronze,diagnosis,HCC003,"Central Nervous System Infections, Except Viral Meningitis",7.676
adult,catastrophic,diagnosis,HCC003,"Central Nervous System Infections, Except Viral Meningitis",7.664
adult,platinum,diagnosis,HCC004,Viral or Unspecified Meningitis,7.677
