segment,factor_type,factor_key,coefficient
CND,hcc,HCC383,0.707
CPD,hcc,HCC383,0.654
CFD,hcc,HCC383,0.707
INS,hcc,HCC383,0.343
CNA,hcc,HCC385,1.291
CPA,hcc,HCC385,0
CFA,hcc,HCC385,2.362
CND,hcc,HCC385,0.234
CPD,hcc,HCC385,0.204
CFD,hcc,HCC385,0.857
INS,hcc,HCC385,0
CNA,hcc,HCC387,0.406
CPA,hcc,HCC387,0.477
CFA,hcc,HCC387,0.658
CND,hcc,HCC387,0.302
CPD,hcc,HCC387,0.498
CFD,hcc,HCC387,0.622
INS,hcc,HCC387,0.125
CNA,hcc,HCC397,0.199
CPA,hcc,HCC397,0.128
CFA,hcc,HCC397,0.349
CND,hcc,HCC397,0.15
CPD,hcc,HCC397,0.052
CFD,hcc,HCC397,0.19
INS,hcc,HCC397,0.085
CNA,hcc,HCC398,0.199
CPA,hcc,HCC398,0.128
CFA,hcc,HCC398,0.349
CND,hcc,HCC398,0.15
CPD,hcc,HCC398,0.052
CFD,hcc,HCC398,0.19
INS,hcc,HCC398,0.085
CNA,hcc,HCC399,0.199
CPA,hcc,HCC399,0.128
CFA,hcc,HCC399,0.349
CND,hcc,HCC399,0.15
CPD,hcc,HCC399,0.052
CFD,hcc,HCC399,0.19
INS,hcc,HCC399,0.085
CNA,hcc,HCC401,0.522
CPA,hcc,HCC401,0.538
CFA,hcc,HCC401,0.622
CND,hcc,HCC401,0.605
CPD,hcc,HCC401,0.412
CFD,hcc,HCC401,0.559
INS,hcc,HCC401,0.231
CNA,hcc,HCC402,0.467
CPA,hcc,HCC402,0.499
CFA,hcc,HCC402,0.561
CND,hcc,HCC402,0.561
CPD,hcc,HCC402,0.527
CFD,hcc,HCC402,0.57
INS,hcc,HCC402,0.089
CNA,hcc,HCC405,0.598
CPA,hcc,HCC405,0.639
CFA,hcc,HCC405,0.799
CND,hcc,HCC405,0.577
CPD,hcc,HCC405,0.698
CFD,hcc,HCC405,0.844
INS,hcc,HCC405,0.284
CNA,hcc,HCC409,0.598
CPA,hcc,HCC409,0.604
CFA,hcc,HCC409,0.799
CND,hcc,HCC409,0.562
CPD,hcc,HCC409,0.623
CFD,hcc,HCC409,0.844
INS,hcc,HCC409,0.284
CNA,hcc,HCC454,1.068
CPA,hcc,HCC454,1.338
CFA,hcc,HCC454,1.326
CND,hcc,HCC454,0.452
CPD,hcc,HCC454,0.416
CFD,hcc,HCC454,0.608
INS,hcc,HCC454,1.596
CNA,hcc,HCC463,0.673
CPA,hcc,HCC463,0.526
CFA,hcc,HCC463,0.891
CND,hcc,HCC463,0.914
CPD,hcc,HCC463,0.853
CFD,hcc,HCC463,0.947
INS,hcc,HCC463,0.634
CNA,payment_hcc_count,D1,0
CPA,payment_hcc_count,D1,0
CFA,payment_hcc_count,D1,0
CND,payment_hcc_count,D1,0
CPD,payment_hcc_count,D1,0
CFD,payment_hcc_count,D1,0
INS,payment_hcc_count,D1,0
CNA,payment_hcc_count,D2,0
CPA,payment_hcc_count,D2,0
CFA,payment_hcc_count,D2,0
CND,payment_hcc_count,D2,0
CPD,payment_hcc_count,D2,0
CFD,payment_hcc_count,D2,0
INS,payment_hcc_count,D2,0
CNA,payment_hcc_count,D3,0
CPA,payment_hcc_count,D3,0
CFA,payment_hcc_count,D3,0
CND,payment_hcc_count,D3,0
CPD,payment_hcc_count,D3,0
CFD,payment_hcc_count,D3,0
INS,payment_hcc_count,D3,0
CNA,payment_hcc_count,D4,0
CPA,payment_hcc_count,D4,0
CFA,payment_hcc_count,D4,0
CND,payment_hcc_count,D4,0
CPD,payment_hcc_count,D4,0
CFD,payment_hcc_count,D4,0
INS,payment_hcc_count,D4,0
CNA,payment_hcc_count,D5,0.05
CPA,payment_hcc_count,D5,0.016
CFA,payment_hcc_count,D5,0.049
CND,payment_hcc_count,D5,0.088
CPD,payment_hcc_count,D5,0.105
CFD,payment_hcc_count,D5,0.095
INS,payment_hcc_count,D5,0
CNA,payment_hcc_count,D6,0.102
CPA,payment_hcc_count,D6,0.096
CFA,payment_hcc_count,D6,0.071
CND,payment_hcc_count,D6,0.223
CPD,payment_hcc_count,D6,0.191
CFD,payment_hcc_count,D6,0.245
INS,payment_hcc_count,D6,0
CNA,payment_hcc_count,D7,0.188
CPA,payment_hcc_count,D7,0.207
CFA,payment_hcc_count,D7,0.16
CND,payment_hcc_count,D7,0.38
CPD,payment_hcc_count,D7,0.435
CFD,payment_hcc_count,D7,0.472
INS,payment_hcc_count,D7,0
CNA,payment_hcc_count,D8,0.316
CPA,payment_hcc_count,D8,0.345
CFA,payment_hcc_count,D8,0.267
CND,payment_hcc_count,D8,0.44
CPD,payment_hcc_count,D8,0.581
CFD,payment_hcc_count,D8,0.607
INS,payment_hcc_count,D8,0
CNA,payment_hcc_count,D9,0.444
CPA,payment_hcc_count,D9,0.345
CFA,payment_hcc_count,D9,0.353
CND,payment_hcc_count,D9,0.75
CPD,payment_hcc_count,D9,0.823
CFD,payment_hcc_count,D9,0.841
INS,payment_hcc_count,D9,0
CNA,payment_hcc_count,D10P,0.728
CPA,payment_hcc_count,D10P,0.901
CFA,payment_hcc_count,D10P,0.746
CND,payment_hcc_count,D10P,1.431
CPD,payment_hcc_count,D10P,1.268
CFD,payment_hcc_count,D10P,1.471
INS,payment_hcc_count,D10P,0.373
CNA,disease_interaction,DIABETES_HF_V28,0.112
CPA,disease_interaction,DIABETES_HF_V28,0.164
CFA,disease_interaction,DIABETES_HF_V28,0.183
CND,disease_interaction,DIABETES_HF_V28,0.023
CPD,disease_interaction,DIABETES_HF_V28,0.053
CFD,disease_interaction,DIABETES_HF_V28,0.041
INS,disease_interaction,DIABETES_HF_V28,0.209
CNA,disease_interaction,HF_CHR_LUNG_V28,0.078
CPA,disease_interaction,HF_CHR_LUNG_V28,0.14
CFA,disease_interaction,HF_CHR_LUNG_V28,0.109
CND,disease_interaction,HF_CHR_LUNG_V28,0.062
CPD,disease_interaction,HF_CHR_LUNG_V28,0.108
CFD,disease_interaction,HF_CHR_LUNG_V28,0.097
INS,disease_interaction,HF_CHR_LUNG_V28,0.145
CNA,disease_interaction,HF_KIDNEY_V28,0.176
CPA,disease_interaction,HF_KIDNEY_V28,0.14
CFA,disease_interaction,HF_KIDNEY_V28,0.194
CND,disease_interaction,HF_KIDNEY_V28,0.314
CPD,disease_interaction,HF_KIDNEY_V28,0.328
CFD,disease_interaction,HF_KIDNEY_V28,0.42
INS,disease_interaction,HF_KIDNEY_V28,0
CNA,disease_interaction,CHR_LUNG_CARD_RESP_FAIL_V28,0.254
CPA,disease_interaction,CHR_LUNG_CARD_RESP_FAIL_V28,0.329
CFA,disease_interaction,CHR_LUNG_CARD_RESP_FAIL_V28,0.34
CND,disease_interaction,CHR_LUNG_CARD_RESP_FAIL_V28,0.242
CPD,disease_interaction,CHR_LUNG_CARD_RESP_FAIL_V28,0.27
CFD,disease_interaction,CHR_LUNG_CARD_RESP_FAIL_V28,0.275
INS,disease_interaction,CHR_LUNG_CARD_RESP_FAIL_V28,0.331
CNA,disease_interaction,HF_HCC238_V28,0.077
CPA,disease_interaction,HF_HCC238_V28,0.135
CFA,disease_interaction,HF_HCC238_V28,0.14
CND,disease_interaction,HF_HCC238_V28,0.257
CPD,disease_interaction,HF_HCC238_V28,0.314
CFD,disease_interaction,HF_HCC238_V28,0.372
CND,disease_interaction,gSubUseDisorder_gPsych_V28,0.087
CPD,disease_interaction,gSubUseDisorder_gPsych_V28,0.149
CFD,disease_interaction,gSubUseDisorder_gPsych_V28,0.152
INS,disease_interaction,DISABLED_CANCER_V28,0.367
INS,disease_interaction,DISABLED_NEURO_V28,0.154
INS,disease_interaction,DISABLED_HF_V28,0.488
INS,disease_interaction,DISABLED_CHR_LUNG_V28,0.278
INS,disease_interaction,DISABLED_ULCER_V28,0.537
NE,demographic,NMCAID_NORIGDIS_NEF0_34,0.711
SNPNE,demographic,NMCAID_NORIGDIS_NEF0_34,1.332
NE,demographic,NMCAID_NORIGDIS_NEF35_44,0.95
SNPNE,demographic,NMCAID_NORIGDIS_NEF35_44,1.332
NE,demographic,NMCAID_NORIGDIS_NEF45_54,1.155
SNPNE,demographic,NMCAID_NORIGDIS_NEF45_54,1.536
NE,demographic,NMCAID_NORIGDIS_NEF55_59,1.152
SNPNE,demographic,NMCAID_NORIGDIS_NEF55_59,1.536
NE,demographic,NMCAID_NORIGDIS_NEF60_64,1.212
SNPNE,demographic,NMCAID_NORIGDIS_NEF60_64,1.628
NE,demographic,NMCAID_NORIGDIS_NEF65,0.532
SNPNE,demographic,NMCAID_NORIGDIS_NEF65,0.9
NE,demographic,NMCAID_NORIGDIS_NEF66,0.532
SNPNE,demographic,NMCAID_NORIGDIS_NEF66,0.9
NE,demographic,NMCAID_NORIGDIS_NEF67,0.557
SNPNE,demographic,NMCAID_NORIGDIS_NEF67,0.94
NE,demographic,NMCAID_NORIGDIS_NEF68,0.584
SNPNE,demographic,NMCAID_NORIGDIS_NEF68,1.004
NE,demographic,NMCAID_NORIGDIS_NEF69,0.625
SNPNE,demographic,NMCAID_NORIGDIS_NEF69,1.02
NE,demographic,NMCAID_NORIGDIS_NEF70_74,0.694
SNPNE,demographic,NMCAID_NORIGDIS_NEF70_74,1.195
NE,demographic,NMCAID_NORIGDIS_NEF75_79,0.901
SNPNE,demographic,NMCAID_NORIGDIS_NEF75_79,1.419
NE,demographic,NMCAID_NORIGDIS_NEF80_84,0.988
SNPNE,demographic,NMCAID_NORIGDIS_NEF80_84,1.612
NE,demographic,NMCAID_NORIGDIS_NEF85_89,1.287
SNPNE,demographic,NMCAID_NORIGDIS_NEF85_89,1.833
NE,demographic,NMCAID_NORIGDIS_NEF90_94,1.287
SNPNE,demographic,NMCAID_NORIGDIS_NEF90_94,2.016
NE,demographic,NMCAID_NORIGDIS_NEF95_GT,1.287
SNPNE,demographic,NMCAID_NORIGDIS_NEF95_GT,2.016
NE,demographic,NMCAID_NORIGDIS_NEM0_34,0.409
SNPNE,demographic,NMCAID_NORIGDIS_NEM0_34,1.206
NE,demographic,NMCAID_NORIGDIS_NEM35_44,0.669
SNPNE,demographic,NMCAID_NORIGDIS_NEM35_44,1.206
NE,demographic,NMCAID_NORIGDIS_NEM45_54,0.906
SNPNE,demographic,NMCAID_NORIGDIS_NEM45_54,1.472
NE,demographic,NMCAID_NORIGDIS_NEM55_59,0.984
SNPNE,demographic,NMCAID_NORIGDIS_NEM55_59,1.552
NE,demographic,NMCAID_NORIGDIS_NEM60_64,1.057
SNPNE,demographic,NMCAID_NORIGDIS_NEM60_64,1.642
NE,demographic,NMCAID_NORIGDIS_NEM65,0.567
SNPNE,demographic,NMCAID_NORIGDIS_NEM65,0.944
NE,demographic,NMCAID_NORIGDIS_NEM66,0.576
SNPNE,demographic,NMCAID_NORIGDIS_NEM66,0.944
NE,demographic,NMCAID_NORIGDIS_NEM67,0.617
SNPNE,demographic,NMCAID_NORIGDIS_NEM67,0.985
NE,demographic,NMCAID_NORIGDIS_NEM68,0.678
SNPNE,demographic,NMCAID_NORIGDIS_NEM68,1.005
NE,demographic,NMCAID_NORIGDIS_NEM69,0.684
SNPNE,demographic,NMCAID_NORIGDIS_NEM69,1.065
NE,demographic,NMCAID_NORIGDIS_NEM70_74,0.808
SNPNE,demographic,NMCAID_NORIGDIS_NEM70_74,1.216
NE,demographic,NMCAID_NORIGDIS_NEM75_79,1.049
SNPNE,demographic,NMCAID_NORIGDIS_NEM75_79,1.496
NE,demographic,NMCAID_NORIGDIS_NEM80_84,1.245
SNPNE,demographic,NMCAID_NORIGDIS_NEM80_84,1.704
NE,demographic,NMCAID_NORIGDIS_NEM85_89,1.516
SNPNE,demographic,NMCAID_NORIGDIS_NEM85_89,1.924
NE,demographic,NMCAID_NORIGDIS_NEM90_94,1.516
SNPNE,demographic,NMCAID_NORIGDIS_NEM90_94,2.142
NE,demographic,NMCAID_NORIGDIS_NEM95_GT,1.516
SNPNE,demographic,NMCAID_NORIGDIS_NEM95_GT,2.142
NE,demographic,MCAID_NORIGDIS_NEF0_34,1.025
SNPNE,demographic,MCAID_NORIGDIS_NEF0_34,1.655
NE,demographic,MCAID_NORIGDIS_NEF35_44,1.303
SNPNE,demographic,MCAID_NORIGDIS_NEF35_44,1.655
NE,demographic,MCAID_NORIGDIS_NEF45_54,1.415
SNPNE,demographic,MCAID_NORIGDIS_NEF45_54,1.965
NE,demographic,MCAID_NORIGDIS_NEF55_59,1.289
SNPNE,demographic,MCAID_NORIGDIS_NEF55_59,1.989
NE,demographic,MCAID_NORIGDIS_NEF60_64,1.396
SNPNE,demographic,MCAID_NORIGDIS_NEF60_64,2.03
NE,demographic,MCAID_NORIGDIS_NEF65,0.986
SNPNE,demographic,MCAID_NORIGDIS_NEF65,1.285
NE,demographic,MCAID_NORIGDIS_NEF66,0.99
SNPNE,demographic,MCAID_NORIGDIS_NEF66,1.285
NE,demographic,MCAID_NORIGDIS_NEF67,1.004
SNPNE,demographic,MCAID_NORIGDIS_NEF67,1.351
NE,demographic,MCAID_NORIGDIS_NEF68,1.004
SNPNE,demographic,MCAID_NORIGDIS_NEF68,1.351
NE,demographic,MCAID_NORIGDIS_NEF69,1.004
SNPNE,demographic,MCAID_NORIGDIS_NEF69,1.467
NE,demographic,MCAID_NORIGDIS_NEF70_74,1.043
SNPNE,demographic,MCAID_NORIGDIS_NEF70_74,1.634
NE,demographic,MCAID_NORIGDIS_NEF75_79,1.128
SNPNE,demographic,MCAID_NORIGDIS_NEF75_79,1.885
NE,demographic,MCAID_NORIGDIS_NEF80_84,1.342
SNPNE,demographic,MCAID_NORIGDIS_NEF80_84,2.061
NE,demographic,MCAID_NORIGDIS_NEF85_89,1.563
SNPNE,demographic,MCAID_NORIGDIS_NEF85_89,2.25
NE,demographic,MCAID_NORIGDIS_NEF90_94,1.712
SNPNE,demographic,MCAID_NORIGDIS_NEF90_94,2.4
NE,demographic,MCAID_NORIGDIS_NEF95_GT,1.712
SNPNE,demographic,MCAID_NORIGDIS_NEF95_GT,2.4
NE,demographic,MCAID_NORIGDIS_NEM0_34,0.738
SNPNE,demographic,MCAID_NORIGDIS_NEM0_34,1.485
NE,demographic,MCAID_NORIGDIS_NEM35_44,1.264
SNPNE,demographic,MCAID_NORIGDIS_NEM35_44,1.485
NE,demographic,MCAID_NORIGDIS_NEM45_54,1.42
SNPNE,demographic,MCAID_NORIGDIS_NEM45_54,1.845
NE,demographic,MCAID_NORIGDIS_NEM55_59,1.477
SNPNE,demographic,MCAID_NORIGDIS_NEM55_59,1.994
NE,demographic,MCAID_NORIGDIS_NEM60_64,1.542
SNPNE,demographic,MCAID_NORIGDIS_NEM60_64,2.035
NE,demographic,MCAID_NORIGDIS_NEM65,1.182
SNPNE,demographic,MCAID_NORIGDIS_NEM65,1.422
NE,demographic,MCAID_NORIGDIS_NEM66,1.234
SNPNE,demographic,MCAID_NORIGDIS_NEM66,1.422
NE,demographic,MCAID_NORIGDIS_NEM67,1.319
SNPNE,demographic,MCAID_NORIGDIS_NEM67,1.477
NE,demographic,MCAID_NORIGDIS_NEM68,1.367
SNPNE,demographic,MCAID_NORIGDIS_NEM68,1.477
NE,demographic,MCAID_NORIGDIS_NEM69,1.455
SNPNE,demographic,MCAID_NORIGDIS_NEM69,1.477
NE,demographic,MCAID_NORIGDIS_NEM70_74,1.455
SNPNE,demographic,MCAID_NORIGDIS_NEM70_74,1.735
NE,demographic,MCAID_NORIGDIS_NEM75_79,1.455
SNPNE,demographic,MCAID_NORIGDIS_NEM75_79,1.952
NE,demographic,MCAID_NORIGDIS_NEM80_84,1.503
SNPNE,demographic,MCAID_NORIGDIS_NEM80_84,2.194
NE,demographic,MCAID_NORIGDIS_NEM85_89,1.682
SNPNE,demographic,MCAID_NORIGDIS_NEM85_89,2.403
NE,demographic,MCAID_NORIGDIS_NEM90_94,1.981
SNPNE,demographic,MCAID_NORIGDIS_NEM90_94,2.403
NE,demographic,MCAID_NORIGDIS_NEM95_GT,1.981
SNPNE,demographic,MCAID_NORIGDIS_NEM95_GT,2.403
NE,demographic,NMCAID_ORIGDIS_NEF65,1.212
SNPNE,demographic,NMCAID_ORIGDIS_NEF65,1.708
NE,demographic,NMCAID_ORIGDIS_NEF66,1.276
SNPNE,demographic,NMCAID_ORIGDIS_NEF66,1.708
NE,demographic,NMCAID_ORIGDIS_NEF67,1.276
SNPNE,demographic,NMCAID_ORIGDIS_NEF67,1.719
NE,demographic,NMCAID_ORIGDIS_NEF68,1.276
SNPNE,demographic,NMCAID_ORIGDIS_NEF68,1.745
NE,demographic,NMCAID_ORIGDIS_NEF69,1.276
SNPNE,demographic,NMCAID_ORIGDIS_NEF69,1.755
NE,demographic,NMCAID_ORIGDIS_NEF70_74,1.276
SNPNE,demographic,NMCAID_ORIGDIS_NEF70_74,1.929
NE,demographic,NMCAID_ORIGDIS_NEF75_79,1.276
SNPNE,demographic,NMCAID_ORIGDIS_NEF75_79,2.032
NE,demographic,NMCAID_ORIGDIS_NEF80_84,1.276
SNPNE,demographic,NMCAID_ORIGDIS_NEF80_84,2.239
NE,demographic,NMCAID_ORIGDIS_NEF85_89,1.287
SNPNE,demographic,NMCAID_ORIGDIS_NEF85_89,2.239
NE,demographic,NMCAID_ORIGDIS_NEF90_94,1.287
SNPNE,demographic,NMCAID_ORIGDIS_NEF90_94,2.239
NE,demographic,NMCAID_ORIGDIS_NEF95_GT,1.287
SNPNE,demographic,NMCAID_ORIGDIS_NEF95_GT,2.239
NE,demographic,NMCAID_ORIGDIS_NEM65,1.057
SNPNE,demographic,NMCAID_ORIGDIS_NEM65,1.642
NE,demographic,NMCAID_ORIGDIS_NEM66,1.155
SNPNE,demographic,NMCAID_ORIGDIS_NEM66,1.659
NE,demographic,NMCAID_ORIGDIS_NEM67,1.155
SNPNE,demographic,NMCAID_ORIGDIS_NEM67,1.659
NE,demographic,NMCAID_ORIGDIS_NEM68,1.155
SNPNE,demographic,NMCAID_ORIGDIS_NEM68,1.659
NE,demographic,NMCAID_ORIGDIS_NEM69,1.297
SNPNE,demographic,NMCAID_ORIGDIS_NEM69,1.677
NE,demographic,NMCAID_ORIGDIS_NEM70_74,1.297
SNPNE,demographic,NMCAID_ORIGDIS_NEM70_74,1.807
NE,demographic,NMCAID_ORIGDIS_NEM75_79,1.297
SNPNE,demographic,NMCAID_ORIGDIS_NEM75_79,2.039
NE,demographic,NMCAID_ORIGDIS_NEM80_84,1.297
SNPNE,demographic,NMCAID_ORIGDIS_NEM80_84,2.155
NE,demographic,NMCAID_ORIGDIS_NEM85_89,1.516
SNPNE,demographic,NMCAID_ORIGDIS_NEM85_89,2.346
NE,demographic,NMCAID_ORIGDIS_NEM90_94,1.516
SNPNE,demographic,NMCAID_ORIGDIS_NEM90_94,2.346
NE,demographic,NMCAID_ORIGDIS_NEM95_GT,1.516
SNPNE,demographic,NMCAID_ORIGDIS_NEM95_GT,2.346
NE,demographic,MCAID_ORIGDIS_NEF65,1.599
SNPNE,demographic,MCAID_ORIGDIS_NEF65,2.085
NE,demographic,MCAID_ORIGDIS_NEF66,1.599
SNPNE,demographic,MCAID_ORIGDIS_NEF66,2.085
NE,demographic,MCAID_ORIGDIS_NEF67,1.599
SNPNE,demographic,MCAID_ORIGDIS_NEF67,2.148
NE,demographic,MCAID_ORIGDIS_NEF68,2.021
SNPNE,demographic,MCAID_ORIGDIS_NEF68,2.148
NE,demographic,MCAID_ORIGDIS_NEF69,2.021
SNPNE,demographic,MCAID_ORIGDIS_NEF69,2.233
NE,demographic,MCAID_ORIGDIS_NEF70_74,2.021
SNPNE,demographic,MCAID_ORIGDIS_NEF70_74,2.295
NE,demographic,MCAID_ORIGDIS_NEF75_79,2.021
SNPNE,demographic,MCAID_ORIGDIS_NEF75_79,2.484
NE,demographic,MCAID_ORIGDIS_NEF80_84,2.021
SNPNE,demographic,MCAID_ORIGDIS_NEF80_84,2.735
NE,demographic,MCAID_ORIGDIS_NEF85_89,2.021
SNPNE,demographic,MCAID_ORIGDIS_NEF85_89,2.735
NE,demographic,MCAID_ORIGDIS_NEF90_94,2.021
SNPNE,demographic,MCAID_ORIGDIS_NEF90_94,2.735
NE,demographic,MCAID_ORIGDIS_NEF95_GT,2.021
SNPNE,demographic,MCAID_ORIGDIS_NEF95_GT,2.735
NE,demographic,MCAID_ORIGDIS_NEM65,1.727
SNPNE,demographic,MCAID_ORIGDIS_NEM65,2.035
NE,demographic,MCAID_ORIGDIS_NEM66,1.959
SNPNE,demographic,MCAID_ORIGDIS_NEM66,2.15
NE,demographic,MCAID_ORIGDIS_NEM67,1.959
SNPNE,demographic,MCAID_ORIGDIS_NEM67,2.195
NE,demographic,MCAID_ORIGDIS_NEM68,1.959
SNPNE,demographic,MCAID_ORIGDIS_NEM68,2.195
NE,demographic,MCAID_ORIGDIS_NEM69,1.959
SNPNE,demographic,MCAID_ORIGDIS_NEM69,2.246
NE,demographic,MCAID_ORIGDIS_NEM70_74,1.959
SNPNE,demographic,MCAID_ORIGDIS_NEM70_74,2.316
NE,demographic,MCAID_ORIGDIS_NEM75_79,2.813
SNPNE,demographic,MCAID_ORIGDIS_NEM75_79,2.487
NE,demographic,MCAID_ORIGDIS_NEM80_84,2.813
SNPNE,demographic,MCAID_ORIGDIS_NEM80_84,2.573
NE,demographic,MCAID_ORIGDIS_NEM85_89,2.813
SNPNE,demographic,MCAID_ORIGDIS_NEM85_89,2.573
NE,demographic,MCAID_ORIGDIS_NEM90_94,2.813
SNPNE,demographic,MCAID_ORIGDIS_NEM90_94,2.573
NE,demographic,MCAID_ORIGDIS_NEM95_GT,2.813
SNPNE,demographic,MCAID_ORIGDIS_NEM95_GT,2.573
