segment,factor_type,factor_key,coefficient
CPA,hcc,HCC22,0.41
CFA,hcc,HCC22,0.382
CND,hcc,HCC22,0.366
CPD,hcc,HCC22,0.351
CFD,hcc,HCC22,0.409
INS,hcc,HCC22,0.314
CNA,hcc,HCC23,0.186
CPA,hcc,HCC23,0.203
CFA,hcc,HCC23,0.196
CND,hcc,HCC23,0.233
CPD,hcc,HCC23,0.237
CFD,hcc,HCC23,0.218
INS,hcc,HCC23,0.197
CNA,hcc,HCC35,0.949
CPA,hcc,HCC35,1.117
CFA,hcc,HCC35,1.117
CND,hcc,HCC35,1.393
CPD,hcc,HCC35,2.74
CFD,hcc,HCC35,0.573
INS,hcc,HCC35,1.106
CNA,hcc,HCC36,0.166
CPA,hcc,HCC36,0.166
CFA,hcc,HCC36,0.186
CND,hcc,HCC36,0.191
CPD,hcc,HCC36,0.21
CFD,hcc,HCC36,0.235
INS,hcc,HCC36,0.28
CNA,hcc,HCC37,0.166
CPA,hcc,HCC37,0.166
CFA,hcc,HCC37,0.186
CND,hcc,HCC37,0.191
CPD,hcc,HCC37,0.21
CFD,hcc,HCC37,0.235
INS,hcc,HCC37,0.28
CNA,hcc,HCC38,0.166
CPA,hcc,HCC38,0.166
CFA,hcc,HCC38,0.186
CND,hcc,HCC38,0.191
CPD,hcc,HCC38,0.21
CFD,hcc,HCC38,0.235
INS,hcc,HCC38,0.28
CNA,hcc,HCC48,0.186
CPA,hcc,HCC48,0.164
CFA,hcc,HCC48,0.3
CND,hcc,HCC48,0.144
CPD,hcc,HCC48,0.118
CFD,hcc,HCC48,0.178
INS,hcc,HCC48,0.442
CNA,hcc,HCC49,9.256
CPA,hcc,HCC49,3.269
CFA,hcc,HCC49,2.833
CND,hcc,HCC49,13.778
CPD,hcc,HCC49,7.771
CFD,hcc,HCC49,6.399
INS,hcc,HCC49,1.528
CNA,hcc,HCC50,0.648
CPA,hcc,HCC50,0.435
CFA,hcc,HCC50,0.555
CND,hcc,HCC50,0.883
CPD,hcc,HCC50,0.529
CFD,hcc,HCC50,0.789
INS,hcc,HCC50,0.362
CNA,hcc,HCC51,0.51
CPA,hcc,HCC51,0.313
CFA,hcc,HCC51,0.634
CND,hcc,HCC51,0.606
CPD,hcc,HCC51,0.393
CFD,hcc,HCC51,0.654
INS,hcc,HCC51,0.62
CNA,hcc,HCC62,0.376
CPA,hcc,HCC62,0.571
CFA,hcc,HCC62,0.261
CND,hcc,HCC62,0.184
CPD,hcc,HCC62,0.271
CFD,hcc,HCC62,0.409
INS,hcc,HCC62,0.593
CNA,hcc,HCC63,0.962
CPA,hcc,HCC63,0.861
CFA,hcc,HCC63,1.102
CND,hcc,HCC63,1.032
CPD,hcc,HCC63,1.101
CFD,hcc,HCC63,1.209
INS,hcc,HCC63,0.894
CNA,hcc,HCC64,0.447
CPA,hcc,HCC64,0.391
CFA,hcc,HCC64,0.475
CND,hcc,HCC64,0.383
CPD,hcc,HCC64,0.27
CFD,hcc,HCC64,0.414
INS,hcc,HCC64,0.378
CNA,hcc,HCC65,0.185
CPA,hcc,HCC65,0.156
CFA,hcc,HCC65,0.101
CND,hcc,HCC65,0.248
CPD,hcc,HCC65,0.189
CFD,hcc,HCC65,0.22
INS,hcc,HCC65,0.378
CNA,hcc,HCC68,0.388
CPA,hcc,HCC68,0.391
CFA,hcc,HCC68,0.085
CND,hcc,HCC68,0.383
CPD,hcc,HCC68,0.27
CFD,hcc,HCC68,0.354
INS,hcc,HCC68,0.09
CNA,hcc,HCC77,1.172
CPA,hcc,HCC77,5.039
CFA,hcc,HCC77,5.039
CND,hcc,HCC77,6.301
CPD,hcc,HCC77,5.039
CFD,hcc,HCC77,6.161
INS,hcc,HCC77,5.089
CNA,hcc,HCC78,0.326
CPA,hcc,HCC78,0.478
CFA,hcc,HCC78,0.382
CND,hcc,HCC78,0.534
CPD,hcc,HCC78,0.688
CFD,hcc,HCC78,0.548
INS,hcc,HCC78,0.38
CNA,hcc,HCC79,0.357
CPA,hcc,HCC79,0.444
CFA,hcc,HCC79,0.525
CND,hcc,HCC79,0.574
CPD,hcc,HCC79,0.709
CFD,hcc,HCC79,0.799
INS,hcc,HCC79,0.218
CNA,hcc,HCC80,0.55
CPA,hcc,HCC80,0.479
CFA,hcc,HCC80,0.49
CND,hcc,HCC80,0.635
CPD,hcc,HCC80,0.603
CFD,hcc,HCC80,0.651
INS,hcc,HCC80,0.374
CNA,hcc,HCC81,0.244
CPA,hcc,HCC81,0.205
CFA,hcc,HCC81,0.201
CND,hcc,HCC81,0.285
CPD,hcc,HCC81,0.237
CFD,hcc,HCC81,0.286
INS,hcc,HCC81,0.258
CNA,hcc,HCC92,0.479
CPA,hcc,HCC92,0.471
CFA,hcc,HCC92,0.611
CND,hcc,HCC92,0.529
CPD,hcc,HCC92,0.539
CFD,hcc,HCC92,0.632
INS,hcc,HCC92,0.556
CNA,hcc,HCC93,0.617
CPA,hcc,HCC93,0.405
CFA,hcc,HCC93,0.439
CND,hcc,HCC93,0.47
CPD,hcc,HCC93,0.288
CFD,hcc,HCC93,0.384
INS,hcc,HCC93,0.297
CNA,hcc,HCC94,0.268
CPA,hcc,HCC94,0.224
CFA,hcc,HCC94,0.237
CND,hcc,HCC94,0.239
CPD,hcc,HCC94,0.196
CFD,hcc,HCC94,0.25
INS,hcc,HCC94,0.297
CNA,hcc,HCC107,0.457
CPA,hcc,HCC107,0.303
CFA,hcc,HCC107,0.61
CND,hcc,HCC107,1.449
CPD,hcc,HCC107,1.569
CFD,hcc,HCC107,1.939
INS,hcc,HCC107,0.692
CNA,hcc,HCC108,0.146
CPA,hcc,HCC108,0.303
CFA,hcc,HCC108,0.103
CND,hcc,HCC108,0.386
CPD,hcc,HCC108,0.416
CFD,hcc,HCC108,0.408
INS,hcc,HCC108,0.098
CNA,hcc,HCC109,1.144
CPA,hcc,HCC109,1.009
CFA,hcc,HCC109,1.048
CND,hcc,HCC109,1.815
CPD,hcc,HCC109,1.514
CFD,hcc,HCC109,1.541
INS,hcc,HCC109,0.529
CNA,hcc,HCC111,4.639
CPA,hcc,HCC111,11.201
CFA,hcc,HCC111,15.539
CND,hcc,HCC111,30.706
CPD,hcc,HCC111,32.199
CFD,hcc,HCC111,31.424
INS,hcc,HCC111,6.31
CNA,hcc,HCC112,0.45
CPA,hcc,HCC112,0.574
CFA,hcc,HCC112,0.46
CND,hcc,HCC112,0.64
CPD,hcc,HCC112,0.708
CFD,hcc,HCC112,0.634
INS,hcc,HCC112,0.516
CNA,hcc,HCC114,2.262
CPA,hcc,HCC114,2.137
CFA,hcc,HCC114,2.016
CND,hcc,HCC114,2.598
CPD,hcc,HCC114,2.789
CFD,hcc,HCC114,2.67
INS,hcc,HCC114,0.691
CNA,hcc,HCC115,0.565
CPA,hcc,HCC115,0.302
CFA,hcc,HCC115,0.438
CND,hcc,HCC115,0.692
CPD,hcc,HCC115,0.613
CFD,hcc,HCC115,0.498
INS,hcc,HCC115,0.691
CNA,hcc,HCC125,0.341
CPA,hcc,HCC125,0.401
CFA,hcc,HCC125,0.438
CND,hcc,HCC125,0.296
CPD,hcc,HCC125,0.345
CFD,hcc,HCC125,0.367
INS,hcc,HCC125,0
CNA,hcc,HCC126,0.341
CPA,hcc,HCC126,0.401
CFA,hcc,HCC126,0.438
CND,hcc,HCC126,0.296
CPD,hcc,HCC126,0.345
CFD,hcc,HCC126,0.367
INS,hcc,HCC126,0
CNA,hcc,HCC127,0.341
CPA,hcc,HCC127,0.401
CFA,hcc,HCC127,0.438
CND,hcc,HCC127,0.296
CPD,hcc,HCC127,0.345
CFD,hcc,HCC127,0.367
INS,hcc,HCC127,0
CNA,hcc,HCC135,0.424
CPA,hcc,HCC135,0.522
CFA,hcc,HCC135,0.702
CND,hcc,HCC135,0.637
CPD,hcc,HCC135,0.922
CFD,hcc,HCC135,1.181
INS,hcc,HCC135,0.297
CNA,hcc,HCC136,0.424
CPA,hcc,HCC136,0.522
CFA,hcc,HCC136,0.502
CND,hcc,HCC136,0.637
CPD,hcc,HCC136,0.922
CFD,hcc,HCC136,1.181
INS,hcc,HCC136,0.297
CNA,hcc,HCC137,0.424
CPA,hcc,HCC137,0.394
CFA,hcc,HCC137,0.502
CND,hcc,HCC137,0.365
CPD,hcc,HCC137,0.348
CFD,hcc,HCC137,0.471
INS,hcc,HCC137,0.297
CNA,hcc,HCC138,0.423
CPA,hcc,HCC138,0.355
CFA,hcc,HCC138,0.502
CND,hcc,HCC138,0.264
CPD,hcc,HCC138,0.348
CFD,hcc,HCC138,0.384
INS,hcc,HCC138,0.297
CNA,hcc,HCC139,0.242
CPA,hcc,HCC139,0.308
CFA,hcc,HCC139,0.478
CND,hcc,HCC139,0.207
CPD,hcc,HCC139,0.159
CFD,hcc,HCC139,0.25
INS,hcc,HCC139,0
CNA,hcc,HCC151,0.511
CPA,hcc,HCC151,0.501
CFA,hcc,HCC151,0.591
CND,hcc,HCC151,0.38
CPD,hcc,HCC151,0.304
CFD,hcc,HCC151,0.414
INS,hcc,HCC151,0.449
CNA,hcc,HCC152,0.484
CPA,hcc,HCC152,0.501
CFA,hcc,HCC152,0.579
CND,hcc,HCC152,0.29
CPD,hcc,HCC152,0.247
CFD,hcc,HCC152,0.255
INS,hcc,HCC152,0.208
CNA,hcc,HCC153,0.396
CPA,hcc,HCC153,0.464
CFA,hcc,HCC153,0.42
CND,hcc,HCC153,0.29
CPD,hcc,HCC153,0.232
CFD,hcc,HCC153,0.255
INS,hcc,HCC153,0.199
CNA,hcc,HCC154,0.351
CPA,hcc,HCC154,0.314
